straatname,beroep,beroepcategorie,sekseofgeslacht,geboortedatum,eeuw,land van nationaliteit,geboorteplaats,afbeelding,aantal,wiki
Renaat De Rudder,politicus,politicus,mannelijk,1897-12-11T01:00:00Z,negentiendeeeuw,Belgi�,,Renaat De Rudder.png,7,https://nl.wikipedia.org/wiki/Renaat_De_Rudder
Renaat Veremans,dirigent,muziek,mannelijk,1894-03-02T01:00:00Z,negentiendeeeuw,Belgi�,,Renaat Veremans.png,7,https://nl.wikipedia.org/wiki/Renaat_Veremans
Rene De Clercq,dichter,schrijver,mannelijk,1877-11-14T01:00:00Z,negentiendeeeuw,Belgi�,Deerlijk,Rene De Clercq.png,6,https://nl.wikipedia.org/wiki/Ren%C3%A9_De_Clercq
Renier Snieders,schrijver,schrijver,mannelijk,1812-11-22T01:00:00Z,negentiendeeeuw,Nederland,,Renier Snieders.png,5,https://nl.wikipedia.org/wiki/Renier_Snieders
Rik Wouters,kunstschilder,beeldend kunstenaar,mannelijk,1882-08-21T01:00:00Z,negentiendeeeuw,Belgi�,Mechelen,Rik Wouters.png,5,https://nl.wikipedia.org/wiki/Rik_Wouters
Robert Schuman,politicus,politicus,mannelijk,1886-06-29T01:00:00Z,negentiendeeeuw,Frankrijk,Luxemburg,Robert Schuman.png,10,https://nl.wikipedia.org/wiki/Robert_Schuman
Simon Stevin,wiskundige,wetenschapper,mannelijk,1547-12-22T01:00:00Z,zestiendeeeuw,Republiek der Zeven Verenigde Nederlanden,Brugge,Simon Stevin.png,7,https://nl.wikipedia.org/wiki/Simon_Stevin
Antonius van Egypte,monnik,religieus,mannelijk,0251-01-01T01:00:00Z,derdeeeuw,Egypte,Heracleopolis Magna,Antonius van Egypte.png,9,https://nl.wikipedia.org/wiki/Antonius_van_Egypte
Hubertus van Luik,priester,religieus,mannelijk,0654-12-29T01:00:00Z,zevendeeeuw,Belgi�,Toulouse,Hubertus van Luik.png,7,https://nl.wikipedia.org/wiki/Hubertus_van_Luik
Martinus van Tours,klerk,religieus,mannelijk,0315-12-31T01:00:00Z,vierdeeeuw,Frankrijk,Szombathely,Martinus van Tours.png,8,https://nl.wikipedia.org/wiki/Martinus_van_Tours
Stijn Streuvels,schrijver,schrijver,mannelijk,1871-10-03T01:00:00Z,negentiendeeeuw,Belgi�,Heule,Stijn Streuvels.png,71,https://nl.wikipedia.org/wiki/Stijn_Streuvels
Till Eulenspiegel,circusartiest,fictief,mannelijk,1299-12-25T01:00:00Z,dertiendeeeuw,Duitsland,Kneitlingen,Till Eulenspiegel.png,8,https://en.wikipedia.org/wiki/Till_Eulenspiegel
Valerius De Saedeleer,kunstschilder,beeldend kunstenaar,mannelijk,1867-08-04T01:00:00Z,negentiendeeeuw,Belgi�,Aalst,Valerius De Saedeleer.png,8,https://en.wikipedia.org/wiki/Valerius_de_Saedeleer
Vincent van Gogh,kunstschilder,beeldend kunstenaar,mannelijk,1853-03-30T01:00:00Z,negentiendeeeuw,Koninkrijk der Nederlanden,Zundert,Vincent van Gogh.png,5,https://en.wikipedia.org/wiki/Vincent_van_Gogh
Willem Elsschot,dichter,schrijver,mannelijk,1882-05-07T01:00:00Z,negentiendeeeuw,Belgi�,Antwerpen,Willem Elsschot.png,12,https://en.wikipedia.org/wiki/Willem_Elsschot
William Tell,vogelvrij,fictief,mannelijk,,Zwitserland,Uri,William Tell.png,Stijn Streuvels.png,5,https://en.wikipedia.org/wiki/William_Tell
Zenobe Gramme,natuurkundige,wetenschapper,mannelijk,1826-04-04T01:00:00Z,negentiendeeeuw,Belgi�,Jehay,Zenobe Gramme.png,6,https://en.wikipedia.org/wiki/Z%C3%A9nobe_Gramme
